Domain_ID	size	pair_putpair_size	pair_putpair_ratio	Araport11	Genus	Tribe	Brassicaceae	Order
NB	10551	1640	.155435	1	1	1	1	1
TIR	8215	1204	.146561	1	1	1	1	1
LRR	6795	1202	.176894	1	1	1	1	1
Coil	2032	122	.060039	1	1	1	1	1
RPW8	842	0	-	1	1	1	1	1
PF03106	172	156	.906976	1	1	1	1	1
PF14299	105	0	-	1	1	1	1	1
PF12315	87	24	.275862	1	1	1	1	1
PF00412	86	24	.279069	1	1	1	1	1
PF00069	76	65	.855263	1	1	1	1	1
PF04548	45	44	.977777	1	1	1	1	1
PF04859	45	0	-	1	1	1	1	1
PF08381	45	0	-	1	1	1	1	1
PF02671	43	36	.837209	1	1	1	1	1
PF00635	38	0	-	1	1	1	1	1
PF00642	19	18	.947368	0	0	0	1	1
PF03634	16	15	.937500	0	0	0	1	1
PF04852	16	0	-	0	0	1	1	1
PF02362	15	14	.933333	0	0	1	1	1
PF05553	15	14	.933333	0	1	1	1	1
PF06552	10	0	-	0	0	0	0	0
PF07887	10	8	.800000	0	1	1	1	1
PF06984	9	0	-	0	0	0	0	0
PF14223	8	0	-	0	1	1	1	1
PF07714	7	6	.857142	0	0	0	1	1
PF13442	7	7	1.000000	0	1	1	1	1
PF01451	6	0	-	0	0	0	0	0
PF13041	3	0	-	0	1	1	1	1
PF00004	2	0	-	0	1	1	1	1
PF01535	2	0	-	0	1	1	1	1
PF03501	2	0	-	0	0	0	1	1
PF06026	2	0	-	0	1	1	1	1
PF00170	1	0	-	0	0	0	0	0
PF00380	1	0	-	0	0	0	1	1
PF00743	1	0	-	0	1	1	1	1
PF01434	1	0	-	0	0	0	0	0
PF01485	1	0	-	0	0	0	0	0
PF03637	1	0	-	0	1	1	1	1
PF04864	1	0	-	0	0	0	0	0
PF08268	1	0	-	0	0	0	1	1
PF14363	1	0	-	0	1	1	1	1
