posclass	domain	group	present	selected	ratio
invariable	N	selected	372		368	0.99
invariable	T	selected	275		242	0.88
invariable	R	selected	32		32	1.00
invariable	L	selected	248		210	0.85
invariable	C	selected	243		123	0.51
invariable	X	selected	28		10	0.36
invariable	N	unselected	372		4	0.01
invariable	T	unselected	275		33	0.12
invariable	R	unselected	32		0	0.00
invariable	L	unselected	248		38	0.15
invariable	C	unselected	243		120	0.49
invariable	X	unselected	28		18	0.64
pervasive	N	selected	372		182	0.49
pervasive	T	selected	275		132	0.48
pervasive	R	selected	32		6	0.19
pervasive	L	selected	248		69	0.28
pervasive	C	selected	243		22	0.09
pervasive	X	selected	28		9	0.32
pervasive	N	unselected	372		190	0.51
pervasive	T	unselected	275		143	0.52
pervasive	R	unselected	32		26	0.81
pervasive	L	unselected	248		179	0.72
pervasive	C	unselected	243		221	0.91
pervasive	X	unselected	28		19	0.68
episodic	N	selected	372		121	0.33
episodic	T	selected	275		102	0.37
episodic	R	selected	32		0	0.00
episodic	L	selected	248		16	0.06
episodic	C	selected	243		5	0.02
episodic	X	selected	28		8	0.29
episodic	N	unselected	372		251	0.67
episodic	T	unselected	275		173	0.63
episodic	R	unselected	32		32	1.00
episodic	L	unselected	248		232	0.94
episodic	C	unselected	243		238	0.98
episodic	X	unselected	28		20	0.71
